"curso","matriz","semestre","codigo","nome","creditos","tipo","subgrupo","preRequisitos","turmas"
"G054","2023/01","Indefinido","GQM139","Termodinâmica Química Aplicada I","4","eletiva","","Minimo: GMM156, GMM157, GMM158","[]"
"G054","2023/01","Indefinido","GQM166","Introdução ao Planejamento e Análise Estatística de Experimentos","4","eletiva","","Minimo: GMM102","[]"
"G054","2023/01","Indefinido","GQM176","Operações Unitárias I","4","eletiva","","Minimo: GEE105","[]"
"G054","2023/01","Indefinido","GQM177","Cinética Química e Reatores","4","eletiva","","Minimo: GNE327, GNE328","[]"
"G054","2023/01","Indefinido","GQM179","Operações Unitárias II","4","eletiva","","Minimo: GNE332","[]"
"G056","2023/01","4","GDE120","Psicologia da Educação I","4","obrigatoria","","","[{""id"": ""36A"", ""horarios"": [{""dia"": 4, ""inicio"": 19, ""fim"": 23}], ""anp"": false}, {""id"": ""56A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 23}], ""anp"": false}, {""id"": ""57A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 23}], ""anp"": false}, {""id"": ""15A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 23}], ""anp"": false}, {""id"": ""24A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 23}], ""anp"": false}, {""id"": ""18A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 23}], ""anp"": false}]"
"G056","2023/01","7","GDE124","Língua Brasileira de Sinais (libras)","2","obrigatoria","","","[{""id"": ""15A"", ""horarios"": [{""dia"": 3, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""57A"", ""horarios"": [{""dia"": 5, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""24A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 21}], ""anp"": false}]"
"G056","2023/01","5","GDE137","História da Educação I","4","obrigatoria","","","[{""id"": ""13A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 5, ""inicio"": 17, ""fim"": 19}], ""anp"": false}, {""id"": ""44A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 5, ""inicio"": 17, ""fim"": 19}], ""anp"": false}, {""id"": ""20A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 5, ""inicio"": 17, ""fim"": 19}], ""anp"": false}, {""id"": ""57A"", ""horarios"": [{""dia"": 3, ""inicio"": 21, ""fim"": 23}, {""dia"": 4, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""24A"", ""horarios"": [{""dia"": 3, ""inicio"": 21, ""fim"": 23}, {""dia"": 4, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""56A"", ""horarios"": [{""dia"": 3, ""inicio"": 21, ""fim"": 23}, {""dia"": 4, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""36A"", ""horarios"": [{""dia"": 6, ""inicio"": 19, ""fim"": 23}], ""anp"": false}]"
"G056","2023/01","Indefinido","GDE165","História e Culturas Afro-Brasileiras e Indígenas","2","eletiva","","","[{""id"": ""20A"", ""horarios"": [{""dia"": 4, ""inicio"": 14, ""fim"": 16}], ""anp"": false}, {""id"": ""13A"", ""horarios"": [{""dia"": 4, ""inicio"": 16, ""fim"": 18}], ""anp"": false}, {""id"": ""36A"", ""horarios"": [{""dia"": 3, ""inicio"": 19, ""fim"": 21}], ""anp"": false}, {""id"": ""15A"", ""horarios"": [{""dia"": 3, ""inicio"": 21, ""fim"": 23}], ""anp"": false}]"
"G056","2023/01","3","GEL105","Literatura Portuguesa I","4","obrigatoria","","","[{""id"": ""57A"", ""horarios"": [{""dia"": 4, ""inicio"": 21, ""fim"": 23}, {""dia"": 6, ""inicio"": 21, ""fim"": 23}], ""anp"": false}, {""id"": ""56A"", ""horarios"": [{""dia"": 4, ""inicio"": 21, ""fim"": 23}, {""dia"": 6, ""inicio"": 21, ""fim"": 23}], ""anp"": false}]"
